epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.6764,0.633,0.6469,0.6525,0.7024,0.7517,0.75,0.4767,0.4371
1,0.6473,0.6529,0.6652,0.621,0.7179,0.7643,0.7533,0.4828,0.4405
2,0.6399,0.6654,0.6823,0.6448,0.7144,0.7777,0.7846,0.4788,0.4453
3,0.6296,0.6667,0.6852,0.6017,0.7178,0.7676,0.7775,0.4849,0.4447
4,0.6275,0.6714,0.6894,0.6145,0.7042,0.7582,0.8024,0.478,0.4441
5,0.6131,0.6759,0.6957,0.6169,0.6987,0.7487,0.7787,0.4878,0.4524
6,0.6169,0.6752,0.6944,0.5795,0.7228,0.7882,0.7978,0.4809,0.4475
7,0.6063,0.6837,0.7105,0.5873,0.7196,0.7773,0.806,0.4797,0.4493
8,0.604,0.6848,0.7097,0.5848,0.7213,0.7788,0.8083,0.4788,0.4512
9,0.5997,0.6845,0.7094,0.5698,0.7265,0.7934,0.7995,0.4929,0.4659
10,0.5992,0.6868,0.7133,0.5884,0.7194,0.7703,0.8319,0.4811,0.4521
11,0.6004,0.6886,0.7138,0.5866,0.715,0.7747,0.8162,0.4807,0.4526
12,0.5967,0.6938,0.7173,0.5784,0.7312,0.7913,0.796,0.4914,0.4623
13,0.5911,0.6985,0.7229,0.5894,0.722,0.7836,0.809,0.4777,0.4562
14,0.5832,0.7096,0.7345,0.5707,0.7161,0.785,0.7936,0.4871,0.4646
15,0.5878,0.7013,0.725,0.5775,0.7193,0.7832,0.7981,0.4807,0.4617
16,0.5836,0.7089,0.7303,0.5852,0.7232,0.7817,0.873,0.4749,0.4518
17,0.5816,0.7081,0.7324,0.5697,0.7228,0.7865,0.8701,0.4789,0.4618
18,0.5778,0.7098,0.7363,0.5685,0.7138,0.7819,0.8399,0.4764,0.4646
19,0.5707,0.7185,0.7424,0.5682,0.7131,0.7794,0.8053,0.4833,0.4707
20,0.5681,0.7209,0.747,0.5593,0.7266,0.7915,0.8396,0.4771,0.4655
21,0.5616,0.7212,0.7493,0.5658,0.713,0.7807,0.8448,0.4856,0.4774
22,0.5614,0.7248,0.752,0.5631,0.721,0.7861,0.7884,0.4884,0.4838
23,0.5621,0.7207,0.7483,0.5806,0.7162,0.7731,0.7496,0.5184,0.524
24,0.5558,0.732,0.7579,0.5722,0.7201,0.7784,0.748,0.5025,0.5137
25,0.554,0.7312,0.7583,0.568,0.7097,0.7668,0.7556,0.5196,0.5273
26,0.5512,0.7298,0.7576,0.5777,0.7033,0.7589,0.7692,0.5078,0.5121
27,0.5444,0.7339,0.7629,0.5857,0.6975,0.7484,0.7225,0.5229,0.5487
28,0.5463,0.7329,0.763,0.5753,0.7163,0.7791,0.7631,0.5204,0.5225
29,0.5481,0.7338,0.7631,0.6261,0.696,0.7457,0.7679,0.5324,0.5478
30,0.5486,0.7347,0.7647,0.5722,0.702,0.762,0.7656,0.5079,0.5168
