epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.6924,0.5529,0.578,0.6924,0.5954,0.6337,0.6925,0.5702,0.5861
1,0.6891,0.6362,0.6729,0.6919,0.6188,0.6027,0.6921,0.5937,0.585
2,0.6867,0.7238,0.7295,0.6921,0.6454,0.6114,0.694,0.5323,0.4611
3,0.6777,0.8516,0.8394,0.6884,0.693,0.6622,0.6933,0.5602,0.5149
4,0.6781,0.7297,0.7191,0.6837,0.6971,0.6851,0.6946,0.5517,0.4973
5,0.6746,0.756,0.7543,0.68,0.6622,0.6575,0.6998,0.5211,0.4783
6,0.6452,0.8729,0.8624,0.6947,0.6605,0.6499,0.7347,0.5006,0.4465
7,0.6429,0.8028,0.798,0.6602,0.6884,0.6986,0.7197,0.5487,0.5193
8,0.6694,0.7105,0.7138,0.6416,0.6897,0.708,0.729,0.548,0.5005
9,0.6455,0.7746,0.7741,0.653,0.6861,0.6869,0.7598,0.5244,0.4745
10,0.6008,0.8302,0.8191,0.6777,0.7326,0.7172,0.791,0.5535,0.5161
11,0.6223,0.7771,0.7702,0.6413,0.7368,0.7248,0.7575,0.5855,0.5523
12,0.6288,0.7292,0.7064,0.7022,0.7365,0.7278,0.8146,0.5814,0.5585
13,0.6636,0.8118,0.8104,0.6886,0.7378,0.7353,0.824,0.5756,0.5576
14,0.6515,0.6766,0.6893,0.6497,0.6969,0.7005,0.7127,0.5913,0.5891
15,0.6702,0.6825,0.7101,0.7224,0.6701,0.639,0.7354,0.5888,0.5857
16,0.6405,0.7789,0.7825,0.7071,0.704,0.686,0.7368,0.5852,0.5934
17,0.6208,0.764,0.7571,0.6584,0.74,0.7242,0.714,0.5931,0.5933
18,0.6223,0.7907,0.7839,0.6479,0.7377,0.7219,0.7163,0.5901,0.5763
19,0.5851,0.8553,0.8412,0.6414,0.7383,0.7301,0.7357,0.5731,0.5478
20,0.5941,0.8347,0.8181,0.641,0.7292,0.7221,0.7508,0.5608,0.544
21,0.5659,0.7854,0.7722,0.6805,0.7166,0.7248,0.7718,0.5539,0.5507
22,0.648,0.7015,0.6997,0.6068,0.7405,0.7333,0.7342,0.5588,0.5409
23,0.6371,0.7201,0.7011,0.6551,0.7232,0.7229,0.7827,0.5462,0.5267
24,0.6703,0.826,0.8134,0.7075,0.7224,0.7202,0.8467,0.5718,0.5347
25,0.5217,0.8781,0.8676,0.638,0.7182,0.7232,0.7503,0.587,0.5566
26,0.6227,0.7219,0.7048,0.6432,0.7179,0.7194,0.7176,0.5821,0.5568
27,0.555,0.8701,0.8705,0.7217,0.7092,0.7096,0.7884,0.5909,0.5752
28,0.5936,0.8913,0.8791,0.6829,0.7086,0.7085,0.7963,0.577,0.5503
29,0.5909,0.8012,0.7943,0.6654,0.7039,0.7074,0.7422,0.5912,0.5788
30,0.6494,0.7666,0.765,0.6953,0.6967,0.7001,0.7424,0.5816,0.5812
31,0.6002,0.7417,0.7492,0.6667,0.7103,0.7186,0.7319,0.5811,0.5762
32,0.5974,0.7615,0.7606,0.6715,0.6984,0.704,0.7439,0.5727,0.5666
33,0.5596,0.776,0.7689,0.724,0.7031,0.7025,0.7966,0.5881,0.5737
34,0.6119,0.8465,0.8435,0.7151,0.7177,0.712,0.8383,0.5948,0.5689
35,0.4984,0.8768,0.8729,0.6775,0.7037,0.707,0.79,0.5748,0.5725
36,0.5532,0.8372,0.8347,0.7128,0.7058,0.7105,0.7833,0.594,0.5708
37,0.5932,0.7385,0.7386,0.6251,0.738,0.7294,0.7385,0.6199,0.5582
38,0.5709,0.8271,0.8316,0.6575,0.726,0.7199,0.7924,0.606,0.5527
39,0.5662,0.8354,0.8338,0.6399,0.7193,0.7078,0.7931,0.5829,0.5381
40,0.5281,0.8521,0.8437,0.66,0.7201,0.7069,0.8225,0.5812,0.5449
41,0.4743,0.9367,0.9314,0.8128,0.719,0.7114,0.9686,0.5937,0.561
42,0.5975,0.8077,0.8071,0.606,0.7431,0.7394,0.7536,0.6215,0.563
43,0.4823,0.921,0.9196,0.7503,0.7299,0.7244,0.8744,0.635,0.5779
44,0.5134,0.9293,0.9307,0.9525,0.7291,0.718,1.0462,0.6181,0.582
45,0.3962,0.8544,0.8514,0.7816,0.7301,0.7213,0.8647,0.6027,0.5763
46,0.5309,0.8968,0.8984,0.7123,0.7044,0.7037,0.7947,0.5902,0.5589
47,0.5704,0.7664,0.7548,0.629,0.7009,0.7012,0.7129,0.6042,0.5451
48,0.6003,0.8241,0.8332,0.6552,0.7174,0.7152,0.745,0.5964,0.5494
49,0.4993,0.9369,0.9376,0.7316,0.7457,0.7367,0.8517,0.5927,0.5543
50,0.409,0.935,0.932,0.7981,0.757,0.7324,0.9591,0.5956,0.5505
51,0.6303,0.8469,0.8307,0.6509,0.7391,0.7332,0.7969,0.5902,0.5604
52,0.4855,0.8456,0.8439,0.6171,0.7229,0.7384,0.7274,0.5845,0.558
53,0.3956,0.9582,0.9587,0.7971,0.6856,0.6906,0.8514,0.5736,0.5632
54,0.5953,0.7595,0.7613,0.8309,0.6834,0.6821,0.9004,0.5746,0.555
55,0.5215,0.7837,0.7778,0.7245,0.7262,0.7222,0.8472,0.584,0.5425
56,0.4662,0.9181,0.93,0.6674,0.7333,0.7327,0.807,0.5958,0.5431
57,0.5207,0.8676,0.8671,0.6567,0.7107,0.723,0.7799,0.6025,0.554
58,0.3233,0.9995,0.9995,0.8537,0.692,0.6774,0.9305,0.6071,0.5744
59,0.4678,0.948,0.947,0.989,0.7013,0.674,1.0675,0.6089,0.5759
60,0.4717,0.9154,0.9066,0.7858,0.7247,0.708,0.9255,0.6057,0.5636
61,0.4158,0.8753,0.8737,0.6644,0.7425,0.7306,0.774,0.6298,0.5782
62,0.5941,0.7343,0.7382,0.6256,0.737,0.7275,0.7242,0.6052,0.5569
63,0.5966,0.8592,0.8546,0.6432,0.7306,0.7225,0.7562,0.5973,0.5623
64,0.544,0.8617,0.8632,0.6523,0.7333,0.7291,0.7808,0.5925,0.5669
65,0.3986,0.9247,0.9219,0.6563,0.7368,0.7267,0.7937,0.6037,0.5701
66,0.635,0.7061,0.7157,0.6127,0.7386,0.7305,0.7422,0.5891,0.5638
67,0.3709,0.9637,0.958,0.6661,0.7243,0.7112,0.7677,0.5825,0.5664
68,0.3514,0.9618,0.9627,0.8165,0.6962,0.6665,0.9212,0.5743,0.5389
69,0.5408,0.8612,0.8616,0.7759,0.6859,0.6578,0.8901,0.571,0.5299
70,0.3492,0.9611,0.9667,0.7747,0.7016,0.6881,0.9161,0.566,0.5331
71,0.5017,0.8229,0.8167,0.6923,0.7315,0.7122,0.8477,0.5834,0.5584
72,0.3015,0.979,0.981,0.7843,0.7556,0.742,0.9193,0.6041,0.5757
73,0.3843,0.9833,0.979,0.9218,0.7634,0.7459,1.0629,0.6102,0.5743
74,0.506,0.8979,0.9019,0.7641,0.7572,0.7372,0.9405,0.5902,0.5515
75,0.3266,0.9739,0.9767,0.725,0.7549,0.731,0.9227,0.6038,0.5597
76,0.374,0.9488,0.9457,0.6959,0.7415,0.7167,0.9276,0.607,0.5575
77,0.3748,0.9321,0.9351,0.6612,0.7336,0.7158,0.8679,0.5971,0.5584
78,0.5516,0.8048,0.824,0.6645,0.7287,0.7223,0.8658,0.5979,0.556
79,0.3943,0.9135,0.9248,0.6638,0.7336,0.7223,0.8974,0.604,0.5666
80,0.5197,0.7917,0.7895,0.6436,0.7543,0.7374,0.8463,0.614,0.5763
81,0.3204,0.9439,0.9439,0.6457,0.7602,0.7302,0.8427,0.6129,0.5677
82,0.1749,0.9998,0.9998,0.8732,0.7489,0.7182,1.0224,0.6071,0.5742
83,0.3213,0.958,0.9642,0.9314,0.7323,0.697,1.0618,0.6063,0.5716
84,0.3892,0.938,0.9378,0.9248,0.7172,0.6896,1.0556,0.6067,0.5698
85,0.3828,0.9382,0.9387,0.689,0.7255,0.7069,0.8593,0.6027,0.5558
86,0.3426,0.9412,0.9549,0.6425,0.7448,0.7192,0.822,0.6062,0.5634
87,0.2048,1.0,1.0,0.9273,0.7293,0.7047,1.1091,0.5882,0.5728
88,0.4982,0.9331,0.9424,0.9471,0.7344,0.7155,1.2044,0.5966,0.5611
89,0.5214,0.8796,0.876,0.6282,0.7384,0.7255,0.8088,0.5866,0.5481
90,0.5499,0.8056,0.8075,0.7208,0.7235,0.708,0.8225,0.5829,0.5292
91,0.5588,0.8985,0.9114,0.7142,0.7065,0.6864,0.8188,0.5958,0.5503
92,0.6481,0.8201,0.8238,0.7498,0.7075,0.6951,0.8596,0.5942,0.5492
93,0.3894,0.9321,0.9394,0.6484,0.73,0.7133,0.78,0.5837,0.558
94,0.4063,0.9577,0.9559,0.6565,0.7394,0.7137,0.7756,0.5868,0.563
95,0.3713,0.8631,0.8627,0.6598,0.7263,0.7033,0.7825,0.5785,0.5531
96,0.5682,0.8779,0.8838,0.6817,0.7045,0.6891,0.8025,0.562,0.547
97,0.4455,0.9345,0.9351,0.67,0.7049,0.6975,0.7986,0.5831,0.5621
98,0.4803,0.8972,0.898,0.6316,0.721,0.7195,0.7683,0.5923,0.5677
99,0.536,0.8211,0.8366,0.627,0.7271,0.7264,0.7875,0.5793,0.556
