epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.4507,0.858,0.8665,0.3109,0.9405,0.927,0.4341,0.8894,0.8527
1,0.3164,0.9417,0.9281,0.3025,0.9425,0.9293,0.4284,0.893,0.856
2,0.3147,0.9427,0.9285,0.2985,0.944,0.9306,0.4194,0.8956,0.8578
3,0.3087,0.9441,0.9301,0.2983,0.9443,0.9309,0.409,0.8961,0.8591
4,0.3066,0.945,0.933,0.2949,0.945,0.9325,0.4178,0.8974,0.86
5,0.3086,0.9447,0.9315,0.2946,0.9456,0.9327,0.412,0.8967,0.8601
6,0.3032,0.9463,0.9335,0.2926,0.9462,0.9343,0.4104,0.8987,0.8622
7,0.3022,0.9469,0.9329,0.2891,0.9484,0.9364,0.4032,0.9007,0.8642
8,0.3023,0.9484,0.9353,0.2873,0.9489,0.9368,0.395,0.9017,0.8678
9,0.2968,0.949,0.9364,0.282,0.95,0.9383,0.3972,0.9042,0.8708
10,0.2895,0.951,0.939,0.2803,0.9505,0.9384,0.3915,0.9059,0.8737
11,0.291,0.9492,0.937,0.2799,0.9505,0.9394,0.3848,0.9088,0.8772
12,0.289,0.9508,0.9393,0.2788,0.9513,0.9396,0.3902,0.9084,0.8769
13,0.2875,0.9518,0.9401,0.2791,0.9511,0.939,0.3863,0.9066,0.8742
14,0.2893,0.9515,0.9399,0.282,0.9508,0.939,0.3824,0.9079,0.8763
15,0.2884,0.9519,0.9399,0.2775,0.9521,0.9391,0.3846,0.9078,0.8761
16,0.2865,0.9519,0.9406,0.2804,0.9513,0.9382,0.3848,0.9091,0.8772
17,0.2872,0.9519,0.94,0.2754,0.9521,0.9402,0.3828,0.9101,0.8788
18,0.2873,0.952,0.9402,0.2771,0.9526,0.94,0.3789,0.9098,0.8783
19,0.2839,0.9537,0.9424,0.275,0.9533,0.9408,0.379,0.9103,0.8804
20,0.2811,0.9539,0.9424,0.2746,0.9537,0.9411,0.3823,0.9105,0.8799
21,0.2811,0.9544,0.9427,0.2741,0.9535,0.9414,0.3816,0.9118,0.8811
22,0.2805,0.9546,0.9435,0.2715,0.9544,0.9419,0.3871,0.9113,0.8812
