epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.3135,0.9298,0.9418,0.2007,0.9782,0.9745,0.2275,0.9715,0.9672
1,0.1756,0.9803,0.9774,0.1691,0.983,0.9794,0.2105,0.9752,0.9713
2,0.1627,0.9826,0.9806,0.1573,0.9843,0.981,0.1978,0.9755,0.9722
3,0.1574,0.9834,0.9817,0.1529,0.9848,0.9818,0.1939,0.9759,0.9726
4,0.1515,0.9848,0.9833,0.1585,0.9847,0.9816,0.1954,0.9765,0.9731
5,0.1495,0.9854,0.9837,0.1545,0.984,0.9808,0.1912,0.9766,0.9732
6,0.1479,0.9854,0.9844,0.1525,0.9847,0.9825,0.1872,0.9777,0.9749
7,0.1448,0.9864,0.9849,0.1525,0.9848,0.9823,0.1876,0.9772,0.9742
8,0.1436,0.9866,0.9853,0.1538,0.985,0.9827,0.1894,0.9775,0.975
9,0.1485,0.9853,0.9839,0.1508,0.9852,0.9831,0.186,0.9781,0.9751
10,0.1453,0.9863,0.985,0.1549,0.9846,0.9822,0.1921,0.9771,0.9738
11,0.1407,0.9872,0.986,0.1606,0.9853,0.9829,0.1999,0.9771,0.9742
12,0.1396,0.9874,0.9862,0.1529,0.9856,0.9835,0.1863,0.9781,0.9761
13,0.1436,0.9865,0.9855,0.1612,0.9853,0.9831,0.1956,0.9771,0.9752
14,0.1381,0.9873,0.9864,0.1557,0.9857,0.9835,0.186,0.9786,0.9766
15,0.1452,0.9862,0.9848,0.153,0.9852,0.9829,0.1829,0.9785,0.9763
16,0.1384,0.9875,0.9865,0.1513,0.9851,0.9835,0.1863,0.9786,0.9759
17,0.1394,0.9867,0.9862,0.1509,0.9855,0.9835,0.1864,0.9783,0.9756
18,0.1372,0.9875,0.9869,0.1579,0.9841,0.9816,0.1905,0.9777,0.9747
19,0.1355,0.9879,0.9874,0.1536,0.9847,0.9829,0.1864,0.9785,0.9762
20,0.1359,0.988,0.9874,0.1486,0.9855,0.9838,0.1819,0.9792,0.977
21,0.1348,0.9877,0.9872,0.149,0.9859,0.9838,0.1833,0.9785,0.9768
22,0.134,0.9881,0.9875,0.1493,0.9858,0.9838,0.1883,0.9782,0.9761
23,0.1315,0.9887,0.9881,0.1499,0.9854,0.9834,0.1878,0.9787,0.9763
24,0.133,0.9884,0.9879,0.1509,0.9857,0.9838,0.1822,0.9794,0.9775
25,0.1311,0.9889,0.9884,0.1504,0.9856,0.9837,0.1836,0.979,0.9771
26,0.1301,0.9889,0.9884,0.1486,0.986,0.9843,0.1826,0.9789,0.9774
27,0.1316,0.9886,0.988,0.15,0.9853,0.9835,0.1831,0.9786,0.9769
28,0.1308,0.989,0.9883,0.1547,0.9853,0.9834,0.1866,0.9793,0.977
29,0.1338,0.9888,0.9879,0.1521,0.9859,0.9838,0.1835,0.9793,0.9772
30,0.1291,0.9891,0.9883,0.1546,0.9855,0.9831,0.1895,0.9792,0.9764
31,0.1295,0.9891,0.9887,0.1543,0.9854,0.9836,0.1829,0.9795,0.9776
32,0.1302,0.989,0.9886,0.1515,0.985,0.9827,0.1832,0.9797,0.9772
33,0.1284,0.9891,0.9884,0.1463,0.9864,0.9843,0.1802,0.9799,0.9781
34,0.1278,0.9887,0.9884,0.1538,0.9859,0.9838,0.1843,0.98,0.9783
35,0.1283,0.989,0.9887,0.1574,0.9856,0.9833,0.1863,0.9792,0.9773
36,0.1286,0.9888,0.9887,0.1544,0.9859,0.9837,0.1864,0.9794,0.9772
37,0.1296,0.9896,0.9887,0.1536,0.9847,0.9822,0.1906,0.977,0.9752
38,0.1266,0.9897,0.9891,0.1654,0.9845,0.9815,0.1987,0.9782,0.9752
39,0.1267,0.9891,0.9891,0.1588,0.9849,0.9826,0.1953,0.9781,0.9757
40,0.1255,0.9895,0.9892,0.1548,0.9855,0.9834,0.1912,0.9787,0.9767
41,0.1266,0.9894,0.9891,0.1581,0.9847,0.982,0.1931,0.9776,0.9752
42,0.1229,0.99,0.9897,0.1578,0.9852,0.9824,0.1978,0.9775,0.9746
43,0.1248,0.989,0.9891,0.1631,0.9837,0.9802,0.1992,0.977,0.9742
44,0.1249,0.9896,0.9894,0.1601,0.9853,0.9827,0.1989,0.978,0.9758
45,0.1219,0.99,0.9898,0.159,0.9847,0.9819,0.1999,0.9771,0.9749
46,0.1223,0.9899,0.9897,0.1667,0.984,0.9812,0.2009,0.9773,0.9749
47,0.1244,0.99,0.9895,0.1617,0.9847,0.9819,0.1954,0.9768,0.9752
48,0.1225,0.9896,0.9897,0.1734,0.9833,0.9796,0.2031,0.9759,0.9743
49,0.1234,0.9898,0.9898,0.1634,0.985,0.9823,0.199,0.9779,0.9758
50,0.1231,0.9894,0.9896,0.1705,0.984,0.9804,0.2064,0.977,0.9745
51,0.1218,0.9891,0.9893,0.1644,0.9851,0.9824,0.1979,0.9782,0.9761
52,0.1213,0.9899,0.9899,0.1722,0.9846,0.9815,0.2053,0.9774,0.9754
53,0.12,0.9901,0.9898,0.1792,0.9829,0.979,0.214,0.9755,0.9731
54,0.1217,0.9895,0.9898,0.1799,0.9836,0.9801,0.2156,0.9763,0.9741
55,0.1199,0.9903,0.9902,0.1797,0.9833,0.98,0.2179,0.9767,0.9736
56,0.1201,0.9904,0.9902,0.1836,0.9834,0.9799,0.2122,0.9771,0.975
57,0.1163,0.9905,0.9905,0.2021,0.982,0.977,0.2311,0.9753,0.9716
58,0.1163,0.9908,0.9906,0.2003,0.9822,0.9774,0.2293,0.9764,0.9731
59,0.1197,0.99,0.9899,0.1867,0.9813,0.9768,0.2195,0.9743,0.9717
60,0.1169,0.9906,0.9907,0.2018,0.9833,0.9798,0.2307,0.9768,0.9744
61,0.1158,0.9908,0.9907,0.1839,0.9838,0.9809,0.2174,0.9766,0.9742
62,0.1185,0.9904,0.9902,0.2021,0.982,0.9773,0.2332,0.9757,0.9724
63,0.1178,0.9899,0.9901,0.1903,0.9821,0.978,0.223,0.975,0.9723
64,0.1162,0.9901,0.9905,0.1979,0.9822,0.9774,0.2327,0.9751,0.9712
65,0.1142,0.9908,0.9907,0.1978,0.9817,0.9766,0.2271,0.9751,0.9717
66,0.1172,0.9899,0.9902,0.1908,0.9828,0.9785,0.2238,0.9763,0.9722
67,0.1156,0.9907,0.9907,0.2029,0.9812,0.976,0.2374,0.975,0.9703
68,0.1153,0.9903,0.9905,0.2275,0.9809,0.9764,0.2534,0.9763,0.9725
69,0.123,0.9897,0.9896,0.1901,0.9811,0.9769,0.2177,0.9754,0.9724
70,0.1155,0.9908,0.9906,0.2101,0.9814,0.9765,0.2449,0.9742,0.9704
71,0.1133,0.9908,0.991,0.205,0.9822,0.9781,0.2343,0.9756,0.9728
72,0.1151,0.99,0.9906,0.1942,0.9827,0.9784,0.2267,0.9762,0.9731
73,0.112,0.9916,0.9915,0.2,0.9826,0.9779,0.2301,0.9759,0.9725
74,0.1113,0.9914,0.9914,0.2159,0.9816,0.9761,0.2496,0.9762,0.9715
75,0.1126,0.9907,0.9911,0.2278,0.9808,0.9756,0.256,0.9742,0.9706
76,0.1118,0.991,0.9915,0.2148,0.9817,0.977,0.2447,0.9756,0.9719
77,0.1115,0.9911,0.9913,0.2415,0.9796,0.9726,0.2618,0.9748,0.9694
78,0.1116,0.9911,0.9915,0.2136,0.9813,0.9763,0.2434,0.9751,0.9717
79,0.1098,0.9913,0.9917,0.2023,0.9837,0.9798,0.2376,0.9755,0.9728
80,0.1082,0.9915,0.9918,0.2248,0.9809,0.9755,0.2611,0.9737,0.9694
