epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.6736,0.548,0.5814,0.6665,0.6184,0.6861,0.692,0.5747,0.5537
1,0.6575,0.5739,0.6192,0.6624,0.6232,0.692,0.6954,0.541,0.5111
2,0.6536,0.5761,0.6213,0.6622,0.6181,0.6817,0.6952,0.5404,0.5298
3,0.6491,0.5801,0.6321,0.6582,0.6124,0.6713,0.6955,0.5343,0.5385
4,0.6445,0.5864,0.6436,0.6511,0.6031,0.6603,0.6963,0.5781,0.5694
5,0.6403,0.5913,0.6457,0.64,0.6004,0.6582,0.6916,0.6132,0.6152
6,0.635,0.5959,0.6515,0.6395,0.5944,0.6549,0.6881,0.6211,0.6356
7,0.6286,0.5986,0.65,0.6288,0.6001,0.6586,0.6906,0.6304,0.6372
8,0.6284,0.601,0.6558,0.6361,0.5816,0.6462,0.6925,0.6007,0.6075
9,0.6283,0.6001,0.656,0.6324,0.5904,0.6633,0.7024,0.588,0.5872
10,0.6218,0.5977,0.6557,0.6167,0.5878,0.6669,0.716,0.6201,0.6321
11,0.6217,0.6045,0.6629,0.641,0.5644,0.6397,0.7136,0.622,0.6352
12,0.6238,0.6039,0.6601,0.6394,0.5839,0.6682,0.7222,0.6003,0.612
13,0.6197,0.5952,0.6578,0.6612,0.5573,0.638,0.708,0.6052,0.6226
14,0.614,0.6018,0.6627,0.6391,0.5637,0.6518,0.7481,0.5315,0.5421
15,0.6145,0.5988,0.6529,0.5958,0.5644,0.6446,0.8013,0.4816,0.4592
16,0.6188,0.6015,0.6533,0.6532,0.5638,0.645,0.7455,0.5384,0.5426
17,0.6197,0.5876,0.6442,0.6254,0.5625,0.6417,0.7534,0.5339,0.5251
18,0.6124,0.5988,0.6569,0.6637,0.5605,0.637,0.734,0.5336,0.5229
19,0.6142,0.6074,0.6653,0.6599,0.5424,0.6192,0.725,0.5028,0.5104
20,0.6139,0.603,0.662,0.6084,0.557,0.6345,0.7681,0.477,0.4495
21,0.6172,0.6083,0.6614,0.621,0.5611,0.6342,0.7769,0.4525,0.4112
22,0.616,0.604,0.664,0.6215,0.5716,0.6475,0.8052,0.4566,0.4064
23,0.6205,0.6042,0.6625,0.6969,0.5314,0.5906,0.7738,0.4703,0.4372
24,0.6146,0.6089,0.6647,0.6175,0.566,0.6431,0.8617,0.4385,0.3694
25,0.6202,0.6091,0.6705,0.7134,0.5371,0.5923,0.7887,0.4922,0.4532
26,0.6076,0.6216,0.6842,0.672,0.5587,0.6303,0.8607,0.4777,0.4052
27,0.6167,0.6117,0.6726,0.693,0.5449,0.6046,0.8272,0.4777,0.4095
28,0.6071,0.624,0.6844,0.6655,0.5627,0.6337,0.8581,0.4664,0.3967
29,0.5968,0.6411,0.7031,0.7377,0.5567,0.628,0.9586,0.4528,0.3655
30,0.5974,0.634,0.7012,0.7773,0.5466,0.6148,1.0107,0.4609,0.372
31,0.5952,0.6482,0.7072,0.776,0.5538,0.6189,1.043,0.4769,0.3851
32,0.5887,0.6546,0.7174,0.8204,0.5285,0.5655,1.0625,0.4795,0.3931
33,0.5865,0.6527,0.7167,0.6285,0.6229,0.6972,1.1453,0.4668,0.3852
34,0.591,0.6423,0.704,0.6186,0.6225,0.6954,1.2739,0.5037,0.4074
35,0.5817,0.6673,0.73,0.7121,0.6072,0.6718,1.2532,0.4778,0.4012
36,0.5779,0.669,0.7324,0.6795,0.6168,0.6832,1.1883,0.4711,0.4016
37,0.5767,0.6579,0.7229,0.6132,0.6307,0.7038,1.0761,0.4905,0.4212
38,0.5724,0.6724,0.7398,0.5793,0.6281,0.704,1.0909,0.4808,0.4115
39,0.5781,0.6809,0.7393,0.6544,0.6057,0.6639,0.9636,0.5223,0.4603
40,0.5751,0.6565,0.7222,0.5777,0.6163,0.6888,1.053,0.5018,0.4286
41,0.5988,0.6474,0.7102,0.5806,0.6384,0.7097,0.8008,0.5215,0.4959
42,0.6038,0.6404,0.7003,0.7583,0.5357,0.5717,0.7701,0.54,0.5264
43,0.579,0.6705,0.7307,0.5685,0.6682,0.7353,0.8872,0.5072,0.4467
44,0.5747,0.6601,0.7226,0.5665,0.624,0.7052,0.8766,0.476,0.4081
45,0.5895,0.641,0.7064,0.6532,0.6094,0.6626,0.7986,0.5236,0.4639
46,0.5815,0.6623,0.7251,0.6108,0.6656,0.7395,0.7831,0.5354,0.4928
47,0.574,0.6596,0.7298,0.5716,0.6742,0.7462,0.7433,0.5702,0.5601
48,0.5725,0.6682,0.7316,0.5794,0.6443,0.7224,0.7211,0.542,0.5526
49,0.5648,0.6711,0.7404,0.578,0.6619,0.7334,0.7135,0.5778,0.5885
50,0.5592,0.6784,0.7473,0.6052,0.636,0.7037,0.7104,0.5941,0.5995
51,0.555,0.6845,0.7558,0.6874,0.5787,0.638,0.722,0.5848,0.5748
52,0.5652,0.6854,0.7539,0.5795,0.6698,0.7449,0.7314,0.5343,0.5091
53,0.5882,0.6716,0.7282,0.6673,0.6013,0.6689,0.8112,0.4929,0.4311
54,0.5874,0.685,0.7399,0.6716,0.538,0.6025,0.8287,0.4882,0.4233
55,0.5772,0.6801,0.7371,0.7143,0.4998,0.5196,0.7678,0.5521,0.5465
56,0.5592,0.6928,0.7552,0.6948,0.5568,0.5887,0.8355,0.524,0.4894
57,0.5505,0.7,0.7639,0.6767,0.5886,0.6494,0.9411,0.4567,0.3604
58,0.5639,0.6857,0.7522,0.7124,0.5749,0.6358,0.8953,0.4743,0.3963
59,0.5488,0.7023,0.7645,0.6581,0.6094,0.6684,0.9105,0.5028,0.4231
60,0.5459,0.6987,0.7648,0.6959,0.5618,0.6243,0.7745,0.541,0.5221
61,0.5516,0.7048,0.7652,0.7159,0.5411,0.5813,0.8292,0.5476,0.5013
62,0.5338,0.7266,0.7877,0.7008,0.5543,0.6124,0.8046,0.5186,0.4844
63,0.5337,0.7196,0.782,0.7013,0.5341,0.5716,0.8692,0.5174,0.4693
64,0.5602,0.705,0.7656,0.737,0.5149,0.5422,0.9135,0.4899,0.4018
65,0.5375,0.7088,0.7708,0.7067,0.5257,0.5542,0.8732,0.515,0.4668
66,0.5348,0.7297,0.7921,0.7179,0.5156,0.5515,0.8715,0.5324,0.464
67,0.553,0.7045,0.7674,0.7513,0.4928,0.5131,0.987,0.4619,0.3672
68,0.5341,0.7133,0.7779,0.8015,0.4812,0.4949,0.9148,0.4993,0.4419
69,0.5262,0.7307,0.795,0.7223,0.5167,0.5555,0.8344,0.5298,0.486
70,0.5243,0.7301,0.7951,0.7688,0.4838,0.4952,0.8978,0.5416,0.4786
71,0.5206,0.7324,0.7965,0.7485,0.49,0.4986,0.8503,0.5369,0.4941
72,0.5093,0.7455,0.8088,0.7151,0.5217,0.557,0.878,0.5199,0.4846
73,0.5084,0.745,0.8094,0.7384,0.5097,0.5282,0.8765,0.5569,0.517
