epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.5849,0.7371,0.7812,0.5864,0.7525,0.7781,0.7262,0.5503,0.5341
1,0.5542,0.7534,0.7837,0.5573,0.7772,0.7909,0.7279,0.5594,0.5501
2,0.5448,0.7622,0.7906,0.5513,0.7795,0.7941,0.736,0.5611,0.554
3,0.5394,0.7699,0.7976,0.5515,0.7793,0.7939,0.732,0.5593,0.5557
4,0.5307,0.7824,0.8068,0.5464,0.7829,0.7975,0.7453,0.5471,0.5478
5,0.5243,0.7941,0.8172,0.5403,0.7875,0.803,0.7669,0.5425,0.5451
6,0.5175,0.8024,0.8231,0.5382,0.7859,0.8049,0.7798,0.5303,0.5391
7,0.5271,0.7869,0.8142,0.5238,0.7982,0.818,0.7556,0.5652,0.5768
8,0.5261,0.7848,0.8077,0.5421,0.7808,0.8011,0.7668,0.5253,0.5332
9,0.5201,0.7901,0.8193,0.5188,0.8006,0.823,0.7503,0.5751,0.5885
10,0.5164,0.7932,0.8156,0.5334,0.7838,0.8082,0.7674,0.5337,0.5439
11,0.506,0.8011,0.8301,0.52,0.7925,0.818,0.7478,0.5549,0.5631
12,0.5031,0.8069,0.8328,0.514,0.7967,0.8225,0.7288,0.5698,0.5806
13,0.502,0.8028,0.8331,0.5178,0.7895,0.8184,0.7304,0.5675,0.5779
14,0.5043,0.8031,0.8311,0.5146,0.8053,0.8298,0.7363,0.5999,0.6056
15,0.502,0.8064,0.8316,0.5208,0.7995,0.8227,0.7555,0.5776,0.5848
16,0.4898,0.8184,0.8425,0.5099,0.8007,0.8255,0.7198,0.5883,0.6026
17,0.4982,0.8038,0.8338,0.508,0.8025,0.8282,0.7068,0.6038,0.6085
18,0.4953,0.8126,0.8369,0.5171,0.8051,0.8319,0.7392,0.6003,0.6103
19,0.493,0.8073,0.8365,0.5142,0.8025,0.8289,0.7303,0.5962,0.6003
20,0.487,0.8207,0.8435,0.5119,0.8013,0.8281,0.7182,0.5932,0.6064
21,0.4862,0.8144,0.8416,0.5109,0.8024,0.8264,0.7148,0.5955,0.6055
22,0.4795,0.8229,0.8469,0.5134,0.8037,0.8309,0.7161,0.6026,0.6133
23,0.4838,0.8183,0.8449,0.5131,0.8042,0.8302,0.7238,0.599,0.6119
24,0.4806,0.8241,0.8478,0.5088,0.8017,0.8303,0.7077,0.6061,0.6139
25,0.4785,0.8264,0.8489,0.5055,0.8098,0.8364,0.712,0.6182,0.6241
26,0.4813,0.8227,0.8462,0.5058,0.8109,0.8341,0.7163,0.6067,0.6104
27,0.4753,0.8292,0.8507,0.5118,0.7975,0.827,0.7026,0.6003,0.6091
28,0.477,0.821,0.8476,0.5137,0.8067,0.834,0.7129,0.6147,0.6212
29,0.4742,0.8296,0.8505,0.5137,0.8054,0.8323,0.7136,0.6076,0.6207
30,0.4754,0.8272,0.8497,0.5102,0.8079,0.833,0.6969,0.6213,0.628
31,0.4733,0.8301,0.8509,0.5105,0.8089,0.8331,0.7024,0.6211,0.6268
32,0.4713,0.8319,0.853,0.5095,0.8116,0.8372,0.7113,0.6261,0.6304
33,0.4724,0.8321,0.8527,0.5113,0.8098,0.8356,0.7036,0.627,0.6308
34,0.4692,0.8353,0.855,0.5097,0.8098,0.8361,0.7073,0.6253,0.6321
35,0.4703,0.8337,0.8546,0.5141,0.8112,0.8352,0.7091,0.6281,0.631
36,0.4732,0.8311,0.8524,0.5234,0.7999,0.8285,0.7207,0.6064,0.6182
37,0.4674,0.8332,0.8541,0.5112,0.8107,0.8353,0.7163,0.6237,0.628
38,0.4647,0.8368,0.8574,0.512,0.8078,0.8322,0.7102,0.6253,0.6229
39,0.4609,0.8423,0.8603,0.513,0.8053,0.8305,0.6999,0.6242,0.6251
40,0.4599,0.8376,0.8593,0.5189,0.7989,0.8241,0.6946,0.6222,0.6239
41,0.4597,0.8392,0.8604,0.5167,0.8045,0.8316,0.7082,0.6253,0.6311
42,0.4609,0.8397,0.8597,0.5112,0.8124,0.8353,0.7032,0.6395,0.6409
43,0.4626,0.8388,0.8585,0.5121,0.8124,0.8346,0.713,0.6401,0.6425
44,0.4606,0.8402,0.8593,0.5154,0.8024,0.8261,0.7076,0.6363,0.6377
45,0.4608,0.8427,0.8595,0.5154,0.8016,0.8247,0.6937,0.626,0.6273
46,0.4573,0.8421,0.8617,0.5367,0.7814,0.8094,0.6982,0.6221,0.6195
47,0.4541,0.8436,0.8632,0.5141,0.809,0.831,0.705,0.6312,0.6291
48,0.4523,0.8444,0.8643,0.5222,0.805,0.8258,0.7025,0.6352,0.6339
49,0.4512,0.8491,0.8659,0.5179,0.8113,0.8324,0.7113,0.6432,0.6406
50,0.4536,0.845,0.8636,0.5209,0.8089,0.8286,0.7004,0.6464,0.6401
51,0.4503,0.8472,0.8655,0.5211,0.8088,0.8309,0.7114,0.6409,0.6396
52,0.452,0.8469,0.8645,0.5182,0.8072,0.828,0.7038,0.6396,0.6332
53,0.4459,0.8497,0.8683,0.523,0.8078,0.829,0.7177,0.6364,0.6307
54,0.4445,0.8493,0.8691,0.5251,0.8087,0.8302,0.7245,0.6355,0.6309
55,0.4469,0.8517,0.8685,0.5221,0.812,0.8293,0.7112,0.6426,0.6353
56,0.4475,0.8483,0.8674,0.5251,0.7947,0.8194,0.708,0.6324,0.6254
57,0.4452,0.8516,0.8693,0.5241,0.8128,0.8297,0.7202,0.6407,0.6346
58,0.4453,0.8525,0.8695,0.5248,0.8038,0.8223,0.7132,0.6345,0.6271
59,0.4416,0.8521,0.8717,0.5249,0.8021,0.822,0.7153,0.6297,0.6247
60,0.4441,0.8497,0.8695,0.5337,0.803,0.8214,0.7188,0.6347,0.6287
61,0.4385,0.854,0.8732,0.5308,0.8069,0.8277,0.731,0.6369,0.63
62,0.4404,0.8537,0.872,0.5335,0.8085,0.828,0.7339,0.6385,0.6327
63,0.4399,0.8527,0.8721,0.5251,0.7914,0.8175,0.7156,0.6268,0.6236
64,0.4393,0.8543,0.8727,0.5321,0.8065,0.8238,0.7278,0.6333,0.6279
65,0.4369,0.8546,0.8735,0.53,0.8008,0.8191,0.7161,0.6294,0.6243
66,0.4348,0.8589,0.8757,0.5439,0.8086,0.8242,0.7323,0.644,0.6394
67,0.4376,0.8563,0.8737,0.5309,0.7932,0.8146,0.7168,0.6266,0.6215
68,0.4346,0.8582,0.8755,0.5367,0.8107,0.8245,0.7287,0.6438,0.6364
69,0.4333,0.8592,0.8765,0.533,0.8033,0.8234,0.7267,0.6384,0.6356
70,0.4342,0.8598,0.876,0.532,0.8044,0.8213,0.7278,0.6322,0.6287
71,0.4293,0.8604,0.8781,0.5386,0.7981,0.8141,0.7242,0.6293,0.6271
72,0.4278,0.8631,0.88,0.5422,0.8021,0.8187,0.7394,0.6301,0.6272
73,0.4284,0.8619,0.8792,0.5476,0.798,0.813,0.7258,0.6338,0.6308
74,0.4298,0.8602,0.8784,0.5426,0.7905,0.81,0.727,0.6285,0.6246
