epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.6576,0.6243,0.6588,0.6531,0.6587,0.6626,0.6993,0.5686,0.54
1,0.6096,0.7007,0.7272,0.6248,0.7151,0.7276,0.6713,0.6649,0.6588
2,0.5718,0.7619,0.7806,0.5851,0.7735,0.775,0.6465,0.6923,0.6877
3,0.5448,0.7949,0.8059,0.5589,0.7955,0.7958,0.6419,0.6936,0.6889
4,0.5259,0.8071,0.8217,0.5406,0.8092,0.8079,0.6267,0.7124,0.7051
5,0.4977,0.8355,0.8407,0.5259,0.8243,0.8198,0.6221,0.7247,0.7129
6,0.4789,0.8547,0.8539,0.5164,0.8354,0.828,0.6152,0.7419,0.7267
7,0.4677,0.8618,0.8595,0.5026,0.8457,0.8378,0.6101,0.7528,0.7332
8,0.4521,0.8738,0.8689,0.4983,0.8483,0.8408,0.6004,0.7611,0.7411
9,0.442,0.8797,0.8758,0.4942,0.8544,0.8474,0.6064,0.7621,0.7432
10,0.4317,0.8847,0.8809,0.4848,0.8593,0.8525,0.5993,0.7688,0.7494
11,0.415,0.8931,0.8894,0.4776,0.8654,0.8587,0.6057,0.7651,0.7471
12,0.4105,0.8978,0.8926,0.4711,0.8686,0.8631,0.6008,0.7715,0.7567
13,0.4019,0.901,0.8962,0.4639,0.875,0.8685,0.5999,0.7728,0.7559
14,0.3932,0.9053,0.9008,0.4543,0.8795,0.8724,0.5992,0.7764,0.7595
15,0.3857,0.9088,0.9043,0.4554,0.8823,0.8757,0.6025,0.7755,0.7607
16,0.3808,0.9121,0.9083,0.4496,0.8872,0.8793,0.6034,0.776,0.7579
17,0.3803,0.9118,0.9079,0.4459,0.8916,0.8835,0.6001,0.7764,0.7596
18,0.3786,0.9126,0.9083,0.4345,0.8936,0.885,0.5927,0.7809,0.7616
19,0.3599,0.9195,0.916,0.4276,0.8979,0.8897,0.5982,0.7839,0.7649
