epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.6884,0.5469,0.5659,0.7036,0.4322,0.4019,0.6999,0.4677,0.423
1,0.6786,0.5741,0.6,0.6747,0.6127,0.6838,0.6995,0.482,0.4396
2,0.68,0.5692,0.5932,0.7421,0.4959,0.5076,0.7429,0.4903,0.4461
3,0.6749,0.5715,0.6058,0.6907,0.5317,0.5564,0.7019,0.4745,0.4283
4,0.6723,0.5796,0.6182,0.739,0.4261,0.3965,0.725,0.487,0.4488
5,0.6754,0.5739,0.6062,0.6915,0.5927,0.6569,0.712,0.4847,0.4465
6,0.6687,0.5775,0.6141,0.6946,0.582,0.6492,0.7133,0.482,0.4438
7,0.6637,0.5814,0.6201,0.6775,0.5907,0.6311,0.7131,0.4809,0.4459
8,0.6636,0.5851,0.6254,0.6903,0.5621,0.6101,0.7123,0.4881,0.4601
9,0.6594,0.5908,0.6342,0.7,0.535,0.587,0.7228,0.482,0.4556
10,0.6646,0.5805,0.6196,0.6872,0.589,0.6324,0.7113,0.4817,0.4462
11,0.6525,0.5959,0.6448,0.7297,0.4353,0.4128,0.7473,0.4674,0.4287
12,0.6517,0.5948,0.6378,0.7202,0.4582,0.4558,0.715,0.4906,0.461
13,0.6461,0.6015,0.6494,0.6742,0.584,0.6546,0.8161,0.4886,0.4454
14,0.649,0.5942,0.6399,0.7306,0.4162,0.3867,0.7121,0.4768,0.439
15,0.6529,0.5939,0.6402,0.7751,0.4382,0.4101,0.7716,0.4899,0.4512
16,0.6424,0.5957,0.6424,0.7288,0.5076,0.5337,0.7673,0.4992,0.4695
17,0.6385,0.6011,0.649,0.7213,0.5577,0.6137,0.7959,0.4738,0.4447
18,0.6355,0.6062,0.6532,0.7328,0.4514,0.4426,0.7351,0.4784,0.4435
19,0.6405,0.6017,0.6483,0.6825,0.573,0.6303,0.7741,0.5042,0.4717
20,0.638,0.6067,0.6549,0.6791,0.5506,0.6046,0.7751,0.4883,0.4549
21,0.6346,0.6048,0.654,0.7665,0.5166,0.5423,0.8103,0.4843,0.4572
22,0.6309,0.6079,0.6581,0.7782,0.5366,0.5671,0.808,0.5062,0.4806
23,0.6339,0.6131,0.6574,0.7923,0.4585,0.4486,0.779,0.4768,0.4543
24,0.631,0.6135,0.6581,0.7274,0.5546,0.603,0.8556,0.4816,0.4608
25,0.6218,0.6307,0.6784,0.8583,0.5104,0.5269,0.9168,0.4828,0.4627
26,0.624,0.6238,0.6689,0.6944,0.5572,0.608,0.8215,0.4782,0.4425
27,0.6159,0.6302,0.6748,0.845,0.5645,0.5817,0.9102,0.4952,0.4659
28,0.6133,0.6332,0.683,0.9733,0.4933,0.4944,0.9713,0.4835,0.4756
29,0.6106,0.6357,0.6823,0.9481,0.525,0.5394,0.9516,0.5034,0.4818
30,0.6117,0.6335,0.6804,0.8081,0.5054,0.5029,0.8932,0.5064,0.4805
31,0.6136,0.6354,0.6824,0.8884,0.5303,0.5336,0.902,0.4933,0.4821
32,0.604,0.6368,0.6854,0.8967,0.5642,0.5848,0.939,0.5023,0.4822
33,0.6041,0.6408,0.6911,0.8845,0.5542,0.58,0.9493,0.4865,0.4593
34,0.6005,0.6425,0.6937,0.9314,0.5224,0.5311,0.9533,0.501,0.4839
35,0.6008,0.6407,0.6893,0.8953,0.5272,0.5567,0.9356,0.4885,0.4785
36,0.5999,0.6397,0.6892,0.9453,0.5373,0.5629,0.9779,0.4916,0.483
37,0.605,0.6439,0.6922,0.8732,0.5101,0.5022,0.8671,0.5062,0.4886
38,0.6034,0.6488,0.6922,0.7887,0.5112,0.5292,0.9252,0.508,0.4722
39,0.6084,0.6349,0.6809,0.8168,0.5099,0.5236,0.8538,0.4822,0.4783
40,0.5964,0.6518,0.699,0.9157,0.5035,0.5134,0.9527,0.5035,0.4905
41,0.5925,0.6514,0.6979,1.0724,0.5152,0.5192,1.0931,0.483,0.4786
42,0.5944,0.6542,0.7039,1.0346,0.5249,0.5259,1.0124,0.5007,0.49
43,0.5944,0.6511,0.699,1.0076,0.5088,0.5104,1.0282,0.4914,0.4887
44,0.5939,0.6507,0.7016,0.8824,0.5332,0.5643,0.9751,0.5113,0.4934
45,0.5883,0.6593,0.7079,1.0102,0.508,0.516,1.0406,0.5204,0.4974
