epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.4326,0.886,0.8863,0.3932,0.9084,0.8989,0.5192,0.841,0.8147
1,0.3888,0.9109,0.9024,0.3934,0.9013,0.8926,0.5331,0.8287,0.7989
2,0.3904,0.9107,0.9024,0.3886,0.9045,0.8954,0.532,0.8326,0.8041
3,0.3886,0.9116,0.9036,0.3881,0.9065,0.8971,0.5381,0.8382,0.8092
4,0.3887,0.9102,0.9021,0.3916,0.9033,0.894,0.5433,0.8313,0.7995
5,0.3858,0.9123,0.9042,0.3908,0.9033,0.8944,0.5454,0.8295,0.8009
6,0.392,0.909,0.9012,0.3892,0.9052,0.8958,0.5417,0.8324,0.8012
7,0.39,0.9096,0.9015,0.3908,0.9029,0.8943,0.5426,0.8303,0.8
8,0.3864,0.9133,0.9044,0.3877,0.9052,0.8959,0.5381,0.8337,0.8026
9,0.3887,0.9099,0.9014,0.3962,0.9,0.8908,0.545,0.8257,0.7948
10,0.3874,0.9125,0.904,0.3848,0.9069,0.8978,0.5369,0.8366,0.8064
11,0.3838,0.9134,0.9045,0.3849,0.9064,0.8969,0.5326,0.834,0.8032
12,0.3895,0.9105,0.9017,0.395,0.902,0.892,0.5342,0.8301,0.7987
13,0.3909,0.91,0.9024,0.3891,0.9053,0.8958,0.5263,0.838,0.8081
14,0.3839,0.913,0.9044,0.3937,0.9007,0.892,0.5369,0.8292,0.7966
15,0.3878,0.912,0.9034,0.3896,0.9057,0.8959,0.5394,0.8337,0.8038
16,0.3838,0.9149,0.9061,0.3832,0.9067,0.8982,0.5293,0.8359,0.8054
17,0.3821,0.9149,0.9052,0.3879,0.9058,0.8967,0.5308,0.8362,0.8057
18,0.3854,0.913,0.9046,0.3922,0.9025,0.8938,0.5449,0.8287,0.7954
19,0.3863,0.9119,0.9034,0.389,0.905,0.8958,0.5293,0.8393,0.8073
20,0.3881,0.9123,0.9036,0.3858,0.9071,0.8976,0.5219,0.8382,0.8074
21,0.3825,0.9146,0.9056,0.3885,0.904,0.8945,0.5341,0.834,0.8021
22,0.3813,0.9158,0.9067,0.3814,0.9093,0.9004,0.5368,0.8411,0.8119
23,0.3787,0.9166,0.9077,0.3876,0.9069,0.8974,0.5351,0.8384,0.8072
24,0.3838,0.9152,0.9057,0.3888,0.9038,0.895,0.5341,0.8322,0.8005
25,0.3868,0.9122,0.9045,0.4968,0.8465,0.8298,0.6035,0.8095,0.7706
26,0.3919,0.9078,0.8989,0.3893,0.9031,0.8948,0.5408,0.8312,0.7997
27,0.3864,0.9125,0.904,0.3868,0.9044,0.896,0.5344,0.8323,0.8016
28,0.3885,0.9113,0.9032,0.3928,0.901,0.8928,0.5466,0.8255,0.7951
29,0.3895,0.9112,0.9029,0.3918,0.9042,0.8945,0.5497,0.8286,0.7963
30,0.3892,0.9104,0.9022,0.392,0.902,0.8936,0.5365,0.8284,0.7981
31,0.3889,0.9117,0.9034,0.389,0.9046,0.8957,0.5421,0.8336,0.8023
32,0.3855,0.9119,0.9033,0.3885,0.904,0.8954,0.5393,0.8334,0.8017
33,0.3886,0.9118,0.9035,0.3854,0.9063,0.8968,0.5291,0.8381,0.8078
34,0.3813,0.9156,0.9063,0.3847,0.9067,0.8976,0.5306,0.8378,0.8057
35,0.3839,0.9137,0.9051,0.3841,0.9071,0.8979,0.528,0.8387,0.8087
