epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.3945,0.8967,0.9011,0.3517,0.9227,0.9227,0.3512,0.913,0.9192
1,0.3048,0.9409,0.9419,0.3475,0.9269,0.9232,0.3447,0.919,0.9214
2,0.3046,0.9416,0.9416,0.331,0.9353,0.93,0.3322,0.929,0.9283
3,0.2966,0.9452,0.9436,0.3356,0.9351,0.9281,0.3312,0.9314,0.9289
4,0.296,0.9456,0.9442,0.3515,0.9305,0.923,0.3437,0.929,0.9239
5,0.2978,0.9461,0.9434,0.3373,0.9341,0.9267,0.3271,0.9321,0.9279
6,0.2938,0.9479,0.9451,0.3321,0.9365,0.9284,0.3211,0.934,0.9284
7,0.294,0.9484,0.9449,0.3332,0.9375,0.9291,0.3222,0.9369,0.931
8,0.2869,0.9509,0.9474,0.3302,0.9391,0.9311,0.3129,0.9406,0.9346
9,0.2856,0.952,0.9487,0.3195,0.9426,0.9347,0.3032,0.9445,0.9388
10,0.2832,0.9525,0.949,0.3215,0.9414,0.933,0.3119,0.9418,0.9354
11,0.282,0.953,0.9489,0.3223,0.9414,0.933,0.3166,0.9398,0.933
12,0.2758,0.9552,0.9513,0.3138,0.9443,0.9367,0.3061,0.9428,0.937
13,0.2714,0.9568,0.9532,0.3044,0.9472,0.9396,0.2997,0.9451,0.9395
14,0.2641,0.9593,0.9555,0.3102,0.9448,0.9384,0.3062,0.9447,0.9383
15,0.263,0.9597,0.9561,0.2982,0.9486,0.942,0.2947,0.9483,0.9423
16,0.2587,0.9609,0.9573,0.2974,0.9492,0.9429,0.2918,0.9491,0.9435
17,0.2561,0.9625,0.9588,0.2959,0.9505,0.944,0.2866,0.9505,0.945
18,0.2568,0.9617,0.9584,0.2869,0.9532,0.9473,0.2855,0.9501,0.9454
19,0.2531,0.963,0.9597,0.2911,0.9517,0.9454,0.291,0.9493,0.9442
20,0.2499,0.9637,0.9603,0.2907,0.9525,0.9464,0.2865,0.9511,0.9468
21,0.2483,0.9642,0.961,0.2865,0.9544,0.948,0.2874,0.9514,0.9462
22,0.2472,0.9649,0.9617,0.2918,0.9516,0.9456,0.2888,0.9503,0.9451
23,0.2532,0.9627,0.9596,0.2894,0.9531,0.9465,0.2894,0.9497,0.9449
24,0.2447,0.9655,0.9619,0.2959,0.951,0.9446,0.292,0.9503,0.9447
25,0.2453,0.9654,0.9621,0.2876,0.953,0.947,0.2897,0.9509,0.9452
26,0.2438,0.9652,0.9624,0.2852,0.9538,0.9473,0.2912,0.9502,0.9451
27,0.2392,0.9666,0.9637,0.2877,0.9543,0.9475,0.2842,0.9538,0.9481
28,0.2413,0.9661,0.9633,0.2822,0.9553,0.9492,0.2865,0.9518,0.9468
29,0.2397,0.9665,0.9636,0.292,0.9535,0.947,0.2919,0.9517,0.9458
30,0.2381,0.9672,0.9638,0.2875,0.9542,0.9473,0.2863,0.9521,0.9465
31,0.2351,0.968,0.9651,0.283,0.9563,0.9501,0.2858,0.9531,0.9481
32,0.232,0.9687,0.9659,0.284,0.9557,0.9494,0.2875,0.9531,0.9477
33,0.2306,0.9689,0.9662,0.2842,0.956,0.9493,0.2827,0.954,0.9486
34,0.2293,0.9696,0.9668,0.2781,0.9567,0.951,0.2785,0.9544,0.9495
35,0.2327,0.9683,0.9656,0.2816,0.9553,0.9491,0.2857,0.9525,0.9465
36,0.2305,0.9693,0.9663,0.279,0.9566,0.9505,0.2821,0.9534,0.9481
37,0.226,0.9704,0.9677,0.2842,0.9563,0.9499,0.2888,0.9525,0.9468
38,0.227,0.9699,0.9672,0.2829,0.9568,0.9504,0.288,0.953,0.9474
39,0.2251,0.9704,0.9678,0.2749,0.9576,0.9513,0.2842,0.9527,0.9481
40,0.2257,0.9705,0.9679,0.2761,0.9589,0.9524,0.2829,0.9553,0.95
41,0.2242,0.9706,0.9681,0.2802,0.9572,0.9506,0.2827,0.9535,0.9486
42,0.2235,0.9713,0.9686,0.2825,0.9563,0.9496,0.2825,0.9529,0.9484
43,0.2261,0.9701,0.9677,0.2812,0.9573,0.9507,0.2845,0.9532,0.9479
44,0.221,0.9711,0.9687,0.2828,0.957,0.9509,0.2856,0.954,0.9491
45,0.2206,0.9716,0.9693,0.2817,0.9568,0.9501,0.2888,0.9532,0.9475
46,0.2201,0.9713,0.9693,0.2789,0.9583,0.9519,0.2833,0.9538,0.949
47,0.2171,0.9729,0.9701,0.2817,0.9577,0.9509,0.2836,0.9539,0.949
48,0.218,0.9724,0.9699,0.2849,0.9569,0.9501,0.2893,0.9524,0.9471
49,0.2187,0.9722,0.9698,0.2725,0.9597,0.9533,0.2785,0.9555,0.9504
50,0.2118,0.9738,0.9717,0.2813,0.9571,0.9511,0.2852,0.9537,0.9492
51,0.2172,0.9721,0.97,0.2859,0.9556,0.9491,0.2941,0.95,0.9451
52,0.216,0.9726,0.9704,0.2865,0.9563,0.9502,0.2936,0.9519,0.9468
53,0.216,0.9725,0.9704,0.2847,0.9574,0.9515,0.2909,0.9526,0.9478
54,0.2136,0.973,0.9713,0.2845,0.9569,0.9503,0.2973,0.9514,0.9463
55,0.2119,0.9736,0.9716,0.2833,0.9581,0.9518,0.2943,0.9525,0.9479
56,0.2152,0.9726,0.9706,0.2798,0.9584,0.952,0.2914,0.9534,0.9482
57,0.2121,0.9738,0.9717,0.2838,0.9573,0.9504,0.2946,0.952,0.9466
58,0.21,0.9737,0.9721,0.284,0.9571,0.9512,0.2909,0.9539,0.9487
