epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.6874,0.5513,0.5834,0.6648,0.5865,0.6367,0.7159,0.5,0.4597
1,0.6756,0.5635,0.6018,0.6538,0.5739,0.627,0.7853,0.5019,0.4649
2,0.6695,0.5646,0.5996,0.6232,0.6183,0.6772,0.8435,0.4855,0.4328
3,0.6647,0.5765,0.6178,0.6515,0.63,0.6837,0.9181,0.4664,0.4138
4,0.6624,0.5726,0.614,0.5985,0.5684,0.6369,0.7548,0.5137,0.4992
5,0.6609,0.5754,0.6108,0.5993,0.5545,0.6209,0.7442,0.5122,0.5147
6,0.6598,0.568,0.5945,0.6309,0.5415,0.6062,0.8184,0.5246,0.5136
7,0.6521,0.5818,0.6212,0.6215,0.5602,0.6222,0.8009,0.5092,0.51
8,0.656,0.5793,0.6119,0.6137,0.5708,0.6426,0.7759,0.5004,0.479
9,0.6499,0.5795,0.6144,0.6028,0.5627,0.6217,0.7717,0.51,0.5131
10,0.6391,0.5985,0.6354,0.6174,0.5727,0.6414,0.7929,0.5045,0.5001
11,0.6462,0.6021,0.6403,0.62,0.5504,0.6115,0.7874,0.5184,0.5262
12,0.6523,0.5868,0.6247,0.5926,0.5858,0.6299,0.7257,0.5465,0.5413
13,0.6476,0.5939,0.6255,0.5923,0.5838,0.6491,0.7484,0.493,0.4811
14,0.6412,0.5965,0.6352,0.6134,0.5978,0.6689,0.7828,0.4906,0.4647
15,0.6455,0.6019,0.6365,0.607,0.5846,0.6465,0.7801,0.4973,0.475
16,0.6467,0.5937,0.6282,0.5883,0.5691,0.63,0.7056,0.5014,0.5075
17,0.6358,0.5956,0.6383,0.5842,0.6405,0.6972,0.7364,0.4811,0.4282
18,0.6454,0.5836,0.6236,0.5767,0.6521,0.7132,0.7196,0.4762,0.4139
19,0.6449,0.5951,0.6332,0.582,0.645,0.708,0.7446,0.4697,0.4003
20,0.6341,0.6024,0.643,0.6224,0.5887,0.6644,0.7347,0.4692,0.4019
21,0.6471,0.5798,0.615,0.5748,0.635,0.7023,0.7556,0.4769,0.419
22,0.6318,0.6048,0.6464,0.6005,0.6337,0.7005,0.7866,0.4779,0.4196
