epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.5055,0.8673,0.8525,0.4336,0.8779,0.8615,0.5066,0.8359,0.8125
1,0.4153,0.894,0.8829,0.4189,0.8838,0.8718,0.5009,0.8315,0.8136
2,0.401,0.8994,0.892,0.4171,0.8874,0.8762,0.5143,0.833,0.8124
3,0.3937,0.9043,0.8971,0.386,0.9036,0.8945,0.5065,0.8471,0.8277
4,0.3863,0.9056,0.8987,0.4007,0.8929,0.8845,0.5039,0.8367,0.8134
5,0.3875,0.9064,0.899,0.3902,0.9009,0.8919,0.508,0.8433,0.8188
6,0.3883,0.9042,0.8978,0.3978,0.8941,0.8841,0.5112,0.8388,0.8132
7,0.3876,0.9067,0.8984,0.3925,0.9,0.89,0.5056,0.8397,0.8137
8,0.3904,0.9042,0.8968,0.3996,0.8951,0.8851,0.5037,0.8385,0.8127
9,0.3886,0.9057,0.8985,0.398,0.8951,0.8855,0.507,0.8387,0.8124
10,0.3875,0.907,0.8995,0.403,0.8922,0.8828,0.5162,0.837,0.8093
11,0.3906,0.9037,0.8967,0.4003,0.8924,0.8842,0.5108,0.8402,0.8141
12,0.3941,0.9021,0.8947,0.3998,0.8937,0.8847,0.5108,0.8372,0.8115
13,0.3843,0.9081,0.9011,0.3981,0.8944,0.885,0.5106,0.8404,0.8148
14,0.3873,0.9055,0.8985,0.3983,0.8935,0.8849,0.5056,0.8403,0.8143
15,0.3873,0.9066,0.8993,0.4003,0.893,0.8841,0.5097,0.8371,0.8098
16,0.3901,0.9052,0.8979,0.4032,0.8892,0.881,0.513,0.8342,0.8071
17,0.3896,0.904,0.8966,0.3958,0.8944,0.8867,0.5116,0.8367,0.8118
18,0.3885,0.9045,0.898,0.3929,0.8968,0.8884,0.5013,0.8405,0.8137
19,0.387,0.9055,0.8986,0.3938,0.897,0.888,0.5125,0.8405,0.8136
20,0.3833,0.9078,0.9007,0.3959,0.8938,0.8862,0.5033,0.837,0.8087
21,0.3818,0.9084,0.901,0.3968,0.8946,0.8861,0.5061,0.8376,0.8123
22,0.3858,0.9056,0.8984,0.3971,0.8943,0.8865,0.5168,0.8376,0.811
23,0.389,0.9025,0.8965,0.396,0.8943,0.886,0.5081,0.8378,0.8107
24,0.384,0.9075,0.9002,0.3962,0.8935,0.8859,0.5084,0.8398,0.8132
25,0.383,0.9074,0.9015,0.3973,0.8942,0.886,0.5052,0.8339,0.8083
26,0.3835,0.9077,0.9009,0.3982,0.8937,0.8858,0.5134,0.8334,0.8068
27,0.388,0.9041,0.8978,0.3971,0.8932,0.8852,0.5145,0.8344,0.808
28,0.3872,0.9044,0.8979,0.3946,0.8936,0.8868,0.5141,0.8331,0.8065
29,0.3872,0.9052,0.8987,0.3905,0.8967,0.8894,0.511,0.838,0.8129
30,0.3857,0.9046,0.8982,0.3964,0.8914,0.8849,0.502,0.8361,0.8113
31,0.3894,0.9026,0.897,0.3981,0.8931,0.8854,0.5086,0.8389,0.8123
32,0.3874,0.9038,0.8978,0.4047,0.8885,0.8813,0.519,0.8254,0.7982
33,0.3902,0.9022,0.8964,0.4007,0.8907,0.8835,0.5178,0.8289,0.8017
34,0.3852,0.9056,0.8989,0.3993,0.8911,0.8837,0.5205,0.8328,0.8053
35,0.3861,0.9047,0.8983,0.3959,0.8946,0.8872,0.5162,0.834,0.8061
36,0.388,0.9035,0.8981,0.3958,0.8932,0.8857,0.516,0.8342,0.8066
37,0.3882,0.9042,0.8978,0.3958,0.8935,0.8865,0.5157,0.832,0.8047
38,0.3854,0.9058,0.8997,0.3962,0.8952,0.8875,0.5142,0.8326,0.8062
39,0.3864,0.9044,0.8985,0.3938,0.8952,0.8877,0.5176,0.8346,0.8081
40,0.3859,0.9046,0.8992,0.3954,0.8937,0.8862,0.5104,0.8347,0.8077
41,0.383,0.9065,0.9006,0.3919,0.8978,0.8901,0.5062,0.839,0.8142
