epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.4427,0.8922,0.8944,0.3701,0.9117,0.9084,0.3648,0.9101,0.9116
1,0.3296,0.9302,0.9299,0.3622,0.9174,0.9119,0.3613,0.9155,0.9131
2,0.3178,0.9362,0.9351,0.3606,0.9198,0.9134,0.3542,0.9178,0.915
3,0.3155,0.9373,0.936,0.3543,0.9234,0.9173,0.348,0.9208,0.9172
4,0.3046,0.9426,0.9413,0.3335,0.934,0.9301,0.3388,0.9284,0.9257
5,0.2919,0.9478,0.947,0.3151,0.9417,0.9376,0.329,0.9339,0.9313
6,0.2819,0.9511,0.9499,0.3177,0.9411,0.9354,0.3259,0.9361,0.9322
7,0.2719,0.9557,0.954,0.316,0.9433,0.9376,0.3229,0.9378,0.9347
8,0.2706,0.9567,0.9545,0.3086,0.9458,0.94,0.3131,0.9411,0.9372
9,0.2698,0.9569,0.9555,0.3184,0.9427,0.9367,0.316,0.9392,0.9353
10,0.2811,0.9535,0.9517,0.3111,0.9456,0.9401,0.3071,0.9443,0.9402
11,0.2634,0.9589,0.9571,0.3136,0.944,0.9386,0.3145,0.9403,0.9357
12,0.2596,0.9596,0.9586,0.2988,0.9494,0.9441,0.303,0.9451,0.9403
13,0.2533,0.9618,0.9604,0.2928,0.9507,0.9466,0.2921,0.9485,0.9452
14,0.2508,0.962,0.9608,0.2968,0.9516,0.9465,0.2988,0.9477,0.9442
15,0.2448,0.9642,0.9629,0.286,0.953,0.949,0.2909,0.9496,0.9459
16,0.2388,0.9662,0.9648,0.2862,0.954,0.9497,0.2883,0.9516,0.9478
17,0.2367,0.9655,0.965,0.2852,0.9546,0.951,0.292,0.9507,0.9468
18,0.2324,0.9673,0.9662,0.271,0.9582,0.9549,0.2795,0.9542,0.9509
19,0.2301,0.9681,0.9672,0.2749,0.9569,0.9542,0.2815,0.9543,0.9507
20,0.2263,0.9689,0.968,0.2653,0.9605,0.9567,0.2819,0.9539,0.95
21,0.2236,0.9701,0.969,0.2627,0.9612,0.9577,0.2773,0.9548,0.9511
22,0.2236,0.9697,0.9689,0.2635,0.9609,0.9572,0.2797,0.954,0.9507
23,0.2202,0.971,0.9696,0.2654,0.9608,0.9572,0.2815,0.9537,0.95
24,0.215,0.9724,0.9712,0.2551,0.9633,0.9601,0.2732,0.956,0.9529
25,0.2086,0.9735,0.9727,0.2602,0.963,0.9596,0.2768,0.9572,0.9534
26,0.2079,0.9738,0.9728,0.2533,0.9641,0.9609,0.2713,0.957,0.9536
27,0.2051,0.9747,0.9735,0.2574,0.9631,0.9602,0.2758,0.9568,0.9532
28,0.2082,0.9739,0.9729,0.2543,0.9644,0.9612,0.2724,0.9576,0.954
29,0.2024,0.9754,0.9743,0.2609,0.9636,0.9603,0.2775,0.9565,0.9533
30,0.2044,0.9748,0.9737,0.2582,0.9638,0.9607,0.2739,0.9568,0.9538
31,0.2036,0.9754,0.9742,0.2518,0.9644,0.9612,0.274,0.9573,0.9541
32,0.2026,0.975,0.9743,0.2633,0.9628,0.9593,0.2821,0.9551,0.9516
33,0.1993,0.9764,0.975,0.2556,0.9631,0.9607,0.2702,0.9569,0.9547
34,0.1965,0.9764,0.9757,0.2574,0.9645,0.9611,0.2818,0.9564,0.9529
35,0.1946,0.9768,0.9762,0.2526,0.9655,0.9623,0.2741,0.9581,0.955
36,0.1942,0.9769,0.9762,0.2573,0.9636,0.9606,0.2731,0.9576,0.954
37,0.1938,0.9773,0.9764,0.2599,0.9635,0.9602,0.2799,0.9558,0.9528
38,0.1919,0.9776,0.9767,0.2665,0.9628,0.9595,0.2792,0.9565,0.9531
39,0.1937,0.977,0.9763,0.2605,0.9634,0.9605,0.2751,0.9574,0.9546
40,0.1909,0.9776,0.9772,0.2626,0.9628,0.9596,0.2784,0.9565,0.953
41,0.1892,0.9783,0.9775,0.2628,0.9631,0.9599,0.2798,0.9554,0.9523
42,0.1906,0.9779,0.977,0.2592,0.9645,0.961,0.2749,0.9576,0.9544
43,0.1902,0.9773,0.977,0.2735,0.9609,0.9576,0.2902,0.9546,0.9507
44,0.1924,0.9768,0.9764,0.261,0.9634,0.9604,0.2772,0.9575,0.9541
45,0.187,0.9788,0.9779,0.2643,0.965,0.9615,0.2831,0.9579,0.9541
46,0.1844,0.979,0.9783,0.2627,0.9641,0.9612,0.2773,0.9578,0.955
47,0.1854,0.9791,0.9782,0.2578,0.9652,0.9624,0.2703,0.9589,0.9561
48,0.1819,0.9793,0.9789,0.2558,0.9665,0.9632,0.2775,0.9589,0.9553
49,0.1817,0.9796,0.9791,0.2557,0.9651,0.9621,0.2792,0.9573,0.954
50,0.1816,0.9789,0.9788,0.2744,0.9636,0.9602,0.2925,0.9557,0.9522
51,0.1823,0.9791,0.9787,0.2633,0.9642,0.9613,0.2819,0.9567,0.9543
52,0.1787,0.9797,0.9796,0.2685,0.9647,0.9613,0.2822,0.958,0.9546
53,0.1773,0.9801,0.9799,0.2708,0.9623,0.959,0.2918,0.956,0.952
54,0.1821,0.9793,0.979,0.263,0.9663,0.9636,0.2755,0.96,0.957
55,0.1807,0.9794,0.9791,0.2726,0.9631,0.9608,0.2993,0.9542,0.951
56,0.1779,0.9803,0.9797,0.2739,0.9633,0.96,0.2944,0.9555,0.9524
