epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.6772,0.5524,0.587,0.6829,0.6164,0.6918,0.6712,0.6762,0.7289
1,0.6613,0.5567,0.5947,0.6847,0.6163,0.6769,0.6743,0.6096,0.6636
2,0.6523,0.5704,0.6134,0.6766,0.6259,0.6893,0.6568,0.5895,0.6177
3,0.6389,0.5874,0.6398,0.6176,0.6428,0.7232,0.7265,0.5441,0.5714
4,0.6511,0.5828,0.6356,0.6292,0.6343,0.708,0.6761,0.5537,0.5777
5,0.6452,0.5833,0.6328,0.6469,0.6091,0.6765,0.6815,0.5385,0.5525
6,0.6372,0.5887,0.6463,0.6193,0.6046,0.6738,0.7078,0.5329,0.5308
7,0.6543,0.5729,0.6155,0.682,0.5529,0.5925,0.666,0.5155,0.538
8,0.6392,0.5867,0.6368,0.6184,0.5522,0.6276,0.657,0.6332,0.6515
9,0.6243,0.5886,0.6387,0.6282,0.6069,0.6833,0.725,0.5832,0.5938
10,0.6559,0.5755,0.6121,0.6825,0.602,0.6656,0.6568,0.5793,0.614
11,0.6466,0.5847,0.6283,0.6718,0.6143,0.6878,0.6611,0.5509,0.5891
12,0.6289,0.5931,0.646,0.6491,0.5801,0.6682,0.7255,0.6048,0.6142
13,0.6518,0.5904,0.6337,0.6702,0.5701,0.6484,0.6561,0.5626,0.5667
14,0.6227,0.6065,0.662,0.6809,0.5914,0.674,0.7642,0.5674,0.5803
15,0.6182,0.6069,0.663,0.6068,0.583,0.6636,0.6799,0.6068,0.618
16,0.6191,0.6058,0.6573,0.6696,0.5945,0.6681,0.734,0.5967,0.6115
17,0.6162,0.6123,0.6681,0.6082,0.5822,0.6592,0.7052,0.6117,0.6612
18,0.6178,0.6121,0.6652,0.6538,0.5716,0.643,0.7761,0.6176,0.6882
19,0.608,0.6285,0.6846,0.6478,0.5808,0.6543,0.7325,0.6236,0.6928
20,0.6064,0.6243,0.6824,0.6193,0.5874,0.6506,0.6898,0.6379,0.7011
21,0.605,0.6275,0.6831,0.6813,0.5769,0.6492,0.7629,0.6,0.6701
22,0.6014,0.6389,0.696,0.6165,0.5818,0.6559,0.6786,0.5858,0.6561
23,0.5927,0.6415,0.7018,0.6119,0.5832,0.6542,0.668,0.5787,0.6354
24,0.5898,0.6432,0.7024,0.6253,0.5867,0.6577,0.6911,0.5802,0.6391
25,0.5819,0.6559,0.716,0.6209,0.5818,0.651,0.6603,0.5906,0.6545
26,0.5765,0.6648,0.7255,0.6165,0.579,0.6515,0.6696,0.5912,0.6417
27,0.5693,0.6683,0.7307,0.6372,0.5809,0.6537,0.6855,0.6112,0.6741
28,0.5673,0.6724,0.7378,0.6457,0.5466,0.6075,0.6515,0.6014,0.6667
29,0.5626,0.6848,0.7488,0.6473,0.544,0.602,0.6461,0.5998,0.6568
30,0.5584,0.6976,0.7612,0.6375,0.5578,0.6204,0.6329,0.5867,0.6497
31,0.5552,0.6937,0.7586,0.681,0.5643,0.63,0.6821,0.6068,0.6671
32,0.5541,0.6927,0.761,0.636,0.5676,0.6283,0.6653,0.5828,0.6286
33,0.5436,0.7038,0.77,0.645,0.5548,0.6222,0.6633,0.5589,0.6216
34,0.5387,0.7135,0.7788,0.639,0.5698,0.6454,0.7044,0.5414,0.5953
35,0.5323,0.7191,0.785,0.6214,0.5678,0.6334,0.6625,0.5465,0.594
36,0.5454,0.713,0.7791,0.6255,0.5545,0.6245,0.6804,0.5317,0.579
37,0.5351,0.7229,0.7868,0.6583,0.5566,0.6242,0.6673,0.5516,0.6051
38,0.5192,0.7329,0.7985,0.6155,0.5774,0.6592,0.646,0.5585,0.6235
39,0.5189,0.74,0.8044,0.6344,0.5624,0.6264,0.6763,0.5721,0.6168
40,0.5204,0.7415,0.8042,0.6479,0.5518,0.6178,0.674,0.5968,0.6457
41,0.502,0.7535,0.8158,0.6487,0.571,0.6403,0.6757,0.5727,0.634
42,0.5026,0.7579,0.8189,0.6627,0.5839,0.6559,0.7194,0.5618,0.6199
43,0.5034,0.7539,0.817,0.6326,0.573,0.649,0.7891,0.5559,0.5918
44,0.4932,0.7639,0.8246,0.6826,0.5685,0.6359,0.7534,0.5816,0.6227
45,0.4803,0.7726,0.8341,0.6505,0.5684,0.6382,0.6754,0.5855,0.6505
46,0.4754,0.7774,0.8363,0.6283,0.6017,0.6782,0.6961,0.5989,0.6435
47,0.4844,0.7747,0.8339,0.6811,0.5699,0.6317,0.7071,0.6033,0.6593
48,0.4772,0.781,0.8367,0.6686,0.586,0.6542,0.7334,0.5708,0.6138
49,0.4729,0.7811,0.8378,0.6257,0.6069,0.682,0.7792,0.5439,0.561
50,0.4673,0.781,0.8441,0.6331,0.5825,0.6609,0.7441,0.5623,0.6044
51,0.4537,0.7916,0.8496,0.6546,0.58,0.658,0.7286,0.5623,0.6071
