epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.464,0.8944,0.8909,0.4068,0.8976,0.8889,0.5731,0.8057,0.7763
1,0.4033,0.9042,0.8983,0.3972,0.9007,0.8912,0.5652,0.8012,0.7711
2,0.3859,0.91,0.9059,0.3979,0.8976,0.8904,0.5769,0.7988,0.773
3,0.3806,0.9133,0.9091,0.3926,0.9014,0.894,0.5678,0.8047,0.7759
4,0.3731,0.9176,0.9125,0.3833,0.9056,0.8986,0.5687,0.8069,0.7774
5,0.3726,0.9165,0.9121,0.3881,0.9035,0.896,0.5756,0.8,0.7673
6,0.3703,0.9186,0.9127,0.3884,0.9033,0.8954,0.5567,0.8091,0.7793
7,0.3622,0.9221,0.9163,0.3863,0.9062,0.8984,0.5673,0.8119,0.7802
8,0.3638,0.9214,0.9157,0.3809,0.908,0.9009,0.5642,0.8123,0.7806
9,0.3642,0.9202,0.9158,0.3848,0.906,0.8982,0.5521,0.8197,0.7882
10,0.3644,0.9199,0.9147,0.3813,0.907,0.9012,0.5488,0.8136,0.7844
11,0.3586,0.9231,0.9181,0.3907,0.9057,0.8998,0.5526,0.8134,0.7859
12,0.3582,0.9225,0.9177,0.3806,0.9092,0.9032,0.5661,0.8179,0.79
13,0.3543,0.9242,0.9196,0.3781,0.9099,0.9042,0.5465,0.8201,0.7919
14,0.3581,0.922,0.9186,0.376,0.9089,0.9044,0.55,0.8138,0.787
15,0.3542,0.9242,0.9197,0.3732,0.9115,0.9078,0.5609,0.822,0.7947
16,0.3575,0.9234,0.919,0.3667,0.915,0.9102,0.535,0.8268,0.7995
17,0.3509,0.9254,0.9219,0.3629,0.917,0.9134,0.5511,0.8305,0.8023
18,0.3469,0.9273,0.9234,0.3536,0.919,0.9163,0.5399,0.8341,0.8066
19,0.3429,0.9283,0.9251,0.3486,0.9214,0.9185,0.5237,0.8411,0.8165
20,0.3387,0.9297,0.9263,0.3521,0.9201,0.9164,0.5285,0.8387,0.8126
21,0.3374,0.9305,0.927,0.3534,0.9207,0.9173,0.5279,0.8422,0.8179
22,0.3393,0.9286,0.9265,0.3556,0.9195,0.9158,0.515,0.8444,0.8224
23,0.3353,0.9315,0.9279,0.3616,0.9165,0.9125,0.521,0.8399,0.8194
24,0.3327,0.9316,0.929,0.3601,0.92,0.9166,0.5122,0.8579,0.8358
25,0.3294,0.9337,0.9308,0.3543,0.9194,0.916,0.5048,0.8592,0.838
26,0.3303,0.9332,0.9298,0.362,0.918,0.9133,0.509,0.8629,0.8411
27,0.3278,0.9337,0.9306,0.3628,0.916,0.9118,0.5005,0.8605,0.837
28,0.3257,0.9352,0.932,0.36,0.9174,0.9134,0.5072,0.8627,0.8398
29,0.3257,0.9349,0.932,0.3705,0.9126,0.9071,0.5088,0.8536,0.8307
30,0.3223,0.9367,0.9337,0.3666,0.9175,0.9138,0.5157,0.8619,0.8402
31,0.3173,0.9381,0.9355,0.3706,0.9148,0.91,0.529,0.8529,0.8307
32,0.3199,0.9364,0.9338,0.3689,0.9143,0.9088,0.5158,0.8511,0.8288
33,0.322,0.936,0.9332,0.3721,0.9126,0.9086,0.5324,0.8516,0.8302
