epoch,train loss,train average_precision,train roc_auc,validate loss,validate average_precision,validate roc_auc,new node validate loss,new node average_precision,new node roc_auc
0,0.4373,0.8903,0.9005,0.3575,0.9173,0.9179,0.3738,0.9024,0.9066
1,0.3149,0.9372,0.9384,0.3462,0.9244,0.9232,0.3671,0.9103,0.9085
2,0.311,0.939,0.9401,0.3446,0.9275,0.9258,0.3617,0.9175,0.9146
3,0.2985,0.9456,0.9452,0.3355,0.9354,0.9326,0.3524,0.9223,0.9191
4,0.2946,0.9466,0.9471,0.3179,0.9387,0.9392,0.3469,0.9243,0.9233
5,0.2754,0.9523,0.9542,0.2945,0.9449,0.9473,0.3528,0.9253,0.9243
6,0.2577,0.9578,0.9594,0.2737,0.9561,0.9546,0.3168,0.939,0.9372
7,0.2497,0.9631,0.9621,0.2703,0.9572,0.9547,0.3094,0.9402,0.9384
8,0.2394,0.9663,0.9653,0.2694,0.9578,0.9553,0.307,0.9425,0.94
9,0.2344,0.9679,0.9666,0.2591,0.9626,0.9596,0.2995,0.9469,0.9439
10,0.2337,0.968,0.9667,0.2599,0.9615,0.9586,0.304,0.9452,0.9421
11,0.2249,0.9703,0.9688,0.2517,0.9639,0.9612,0.2957,0.9481,0.9447
12,0.2201,0.9714,0.9702,0.2457,0.9652,0.9631,0.2848,0.9512,0.9483
13,0.2165,0.9716,0.971,0.2446,0.9654,0.9635,0.2888,0.9491,0.947
14,0.213,0.9732,0.972,0.241,0.9669,0.9648,0.2847,0.9503,0.948
15,0.2108,0.9732,0.9722,0.2469,0.9649,0.963,0.292,0.9496,0.9465
16,0.2071,0.9748,0.9735,0.2331,0.9698,0.9677,0.2838,0.9537,0.9502
17,0.2032,0.9753,0.9743,0.2318,0.9696,0.9676,0.2803,0.9539,0.9515
18,0.201,0.975,0.9748,0.2269,0.9704,0.9686,0.2795,0.9535,0.9507
19,0.1981,0.9765,0.9754,0.2301,0.9695,0.9676,0.2872,0.9524,0.9495
20,0.1973,0.9762,0.9756,0.2205,0.9717,0.97,0.2673,0.9576,0.9556
21,0.1916,0.978,0.9769,0.2259,0.9709,0.9691,0.2789,0.9539,0.9517
22,0.1926,0.9772,0.9767,0.227,0.9712,0.969,0.2767,0.956,0.9536
23,0.1932,0.9766,0.9765,0.2187,0.9719,0.9706,0.281,0.9527,0.9513
24,0.1907,0.9781,0.977,0.2301,0.9695,0.9677,0.2808,0.9541,0.9512
25,0.1913,0.9775,0.9768,0.225,0.9711,0.9694,0.289,0.9533,0.9503
26,0.1924,0.9771,0.9767,0.2222,0.9708,0.9692,0.2935,0.95,0.9472
27,0.188,0.9777,0.9772,0.2197,0.9719,0.9703,0.2867,0.9521,0.9499
28,0.1851,0.9788,0.9782,0.2125,0.9742,0.972,0.2765,0.9548,0.9531
29,0.1817,0.9794,0.979,0.2125,0.974,0.9721,0.2736,0.9576,0.9548
30,0.1823,0.9795,0.9787,0.2133,0.9739,0.972,0.2701,0.958,0.9557
31,0.1742,0.9816,0.9807,0.2106,0.9746,0.9728,0.2618,0.9607,0.9581
32,0.1753,0.9806,0.9803,0.2124,0.9737,0.9722,0.2647,0.9599,0.9572
33,0.1723,0.9811,0.9808,0.2148,0.9733,0.9718,0.2715,0.9579,0.956
34,0.1761,0.9803,0.98,0.2075,0.9752,0.9733,0.2627,0.9587,0.9568
35,0.1712,0.9816,0.9812,0.2047,0.9764,0.9744,0.2643,0.9608,0.9584
36,0.1709,0.9815,0.9811,0.2031,0.9766,0.9749,0.267,0.9589,0.9573
37,0.1685,0.9823,0.9816,0.2041,0.9757,0.974,0.275,0.9582,0.9552
38,0.1693,0.9818,0.9815,0.1995,0.9771,0.9753,0.2541,0.9629,0.9602
39,0.1645,0.9831,0.9825,0.2042,0.976,0.9745,0.2684,0.9598,0.9578
40,0.169,0.9817,0.9814,0.2006,0.9769,0.975,0.2642,0.9603,0.9578
41,0.1652,0.983,0.9823,0.2036,0.9763,0.9747,0.2666,0.9591,0.9572
42,0.161,0.9836,0.9831,0.2116,0.9748,0.9729,0.2704,0.9593,0.9568
43,0.1663,0.9824,0.9821,0.2048,0.9759,0.9742,0.2587,0.962,0.9592
44,0.162,0.9829,0.9829,0.2039,0.9775,0.9754,0.2621,0.9606,0.9593
45,0.1613,0.9833,0.983,0.2067,0.9764,0.9744,0.268,0.9609,0.9584
46,0.1555,0.9841,0.984,0.2081,0.9769,0.975,0.2647,0.962,0.9598
47,0.1566,0.9849,0.9841,0.2048,0.9768,0.9747,0.2664,0.9602,0.9581
48,0.1552,0.9849,0.9843,0.2065,0.976,0.9744,0.2628,0.9611,0.959
49,0.1575,0.9842,0.9839,0.206,0.9767,0.9749,0.27,0.9606,0.958
50,0.1545,0.9846,0.9843,0.2054,0.9765,0.9741,0.2639,0.9616,0.958
51,0.1537,0.9846,0.9843,0.196,0.9779,0.9763,0.2622,0.9614,0.9585
52,0.1526,0.9851,0.9847,0.2069,0.9759,0.9742,0.2714,0.961,0.9576
53,0.1514,0.9851,0.9848,0.2043,0.9771,0.9755,0.2701,0.9621,0.9587
54,0.1528,0.9845,0.9846,0.2008,0.9775,0.9757,0.2665,0.9622,0.9587
55,0.1482,0.9859,0.9856,0.2057,0.9767,0.9745,0.2711,0.961,0.9576
56,0.1533,0.9848,0.9847,0.2014,0.9776,0.9761,0.2671,0.9618,0.9589
57,0.1501,0.9852,0.9851,0.2063,0.9773,0.9751,0.2767,0.9608,0.957
58,0.1461,0.9859,0.9857,0.1956,0.9794,0.9778,0.2706,0.9628,0.9605
59,0.1477,0.9852,0.9854,0.1944,0.9793,0.9773,0.2574,0.9645,0.9617
60,0.1456,0.9856,0.9856,0.209,0.9772,0.9752,0.2726,0.9613,0.9578
61,0.1427,0.9867,0.9865,0.2086,0.9767,0.9755,0.268,0.9631,0.9601
62,0.1416,0.9869,0.9866,0.2093,0.9776,0.9754,0.2592,0.9649,0.9619
63,0.1439,0.9866,0.9863,0.2056,0.9779,0.9758,0.2725,0.9613,0.9588
64,0.1445,0.9862,0.9862,0.2134,0.9764,0.9743,0.2849,0.96,0.9564
65,0.1407,0.9872,0.9868,0.2166,0.9764,0.9741,0.2826,0.9606,0.9573
66,0.1435,0.9861,0.9861,0.2112,0.9771,0.9749,0.2733,0.9616,0.9587
67,0.14,0.987,0.9868,0.2109,0.9778,0.9752,0.2711,0.9638,0.9605
68,0.1382,0.9872,0.9872,0.2106,0.9775,0.9754,0.2778,0.9619,0.959
69,0.136,0.9876,0.9874,0.2157,0.9766,0.9743,0.278,0.9608,0.9575
70,0.1384,0.9866,0.987,0.2168,0.9767,0.9742,0.2784,0.9608,0.9576
71,0.1389,0.9867,0.987,0.2085,0.9779,0.9756,0.2703,0.9618,0.9585
72,0.1356,0.9879,0.9877,0.2176,0.9774,0.9747,0.2852,0.9604,0.9574
73,0.1337,0.9877,0.9879,0.2183,0.9769,0.9741,0.2836,0.9605,0.9571
74,0.1349,0.9873,0.9875,0.2163,0.9774,0.9751,0.2794,0.9618,0.9585
75,0.1331,0.9881,0.988,0.2126,0.9781,0.9757,0.2743,0.9624,0.9594
76,0.135,0.9867,0.9874,0.2158,0.9776,0.9748,0.2854,0.9612,0.9578
77,0.1304,0.9882,0.9883,0.2099,0.9782,0.9755,0.2791,0.963,0.96
78,0.1294,0.9889,0.9888,0.2176,0.9775,0.9752,0.2766,0.9629,0.9596
79,0.1306,0.9881,0.9883,0.2198,0.9772,0.9744,0.281,0.9614,0.9581
80,0.1311,0.9884,0.9885,0.2274,0.9758,0.973,0.2859,0.9602,0.9569
